id,achievement,hedonism,power,self-direction,stimulation,security,conformity,tradition,benevolence,universalism
4116102,4,2,0,2,5,9,5,8,9,1
80257632,2,7,5,3,2,6,2,0,3,2
2241308,6,7,4,9,7,3,2,2,3,2
204336669,7,7,2,9,8,3,0,0,2,5
34952275,3,2,2,9,8,3,1,3,8,4
9223300,0,6,0,4,2,2,5,0,8,3
149782763,0,0,0,2,2,8,4,6,7,4
99962781,2,0,6,2,2,4,7,9,8,2
57005765,2,6,0,4,3,4,2,2,8,3
99567690,0,8,5,5,2,3,2,0,7,2
151085454,2,2,0,3,2,7,5,5,2,3
134245347,2,0,5,0,0,10,10,6,7,2
16074172,8,2,7,4,6,2,1,2,2,0
61210999,2,0,7,6,4,4,6,0,2,3
205113268,3,6,3,7,7,6,3,5,6,3
99526020,2,10,2,3,10,2,2,5,4,3
152156851,2,6,0,2,2,2,0,2,2,2
17997657,0,5,0,3,6,4,3,9,3,5
55713838,6,5,3,2,5,4,6,6,5,0
97622225,0,4,0,6,6,4,3,5,3,8
45138126,2,9,1,4,8,2,2,2,2,5
51897534,0,1,3,2,0,6,2,3,6,6
74451241,6,6,5,7,8,5,2,1,3,3
6629722,3,0,7,2,6,8,6,0,10,3
126273707,2,8,2,9,8,2,0,2,0,0
99567684,2,8,0,2,2,8,3,5,6,0
102339234,3,4,8,9,8,0,2,2,0,0
35094579,2,9,3,3,9,2,0,0,2,0
16843548,2,8,5,2,2,5,3,3,5,5
106839634,7,7,7,8,8,3,2,2,0,2
134245346,2,5,2,10,10,2,0,2,2,4
5635960,6,0,10,2,4,1,0,0,0,0
142836663,6,10,9,1,7,0,0,0,0,0
152156857,2,0,0,2,2,7,4,3,9,3
46337905,5,7,2,2,2,2,2,3,4,1
828136,9,9,7,7,7,2,0,1,0,0
80988232,2,2,0,0,4,2,3,0,5,2
76983686,0,3,3,2,2,2,2,5,0,5
148763951,2,8,4,2,7,4,6,1,7,0
2107983,5,2,5,2,0,4,3,0,7,2
57005772,2,1,0,2,0,2,5,2,2,1
98114160,1,9,2,5,7,2,2,0,5,5
49562778,1,2,0,5,3,2,5,3,5,3
19226344,3,0,0,2,2,0,2,2,7,2
152156863,2,9,0,2,2,2,3,10,8,0
1027136,2,9,2,4,6,2,5,5,1,0
59403627,2,6,2,4,6,2,2,1,5,0
113169861,6,7,2,2,2,4,8,0,5,2
56800868,3,6,0,2,5,7,3,5,8,2
34373547,1,0,0,3,2,1,2,2,0,0
210971961,5,3,2,6,7,7,2,3,2,3
93918535,6,2,8,8,7,2,0,2,3,3
49652179,5,4,4,6,6,2,2,2,0,2
102112552,4,5,5,3,6,2,5,4,7,6
17612683,0,6,0,3,3,5,2,2,0,5
124205317,6,10,8,2,9,2,2,0,7,1
5315847,3,9,4,2,9,0,2,2,4,3
99480601,2,2,2,6,6,2,2,2,2,2
200750991,0,0,8,2,2,5,0,6,0,2
181695848,3,9,7,2,4,4,6,2,2,5
7308736,3,8,0,4,3,7,5,6,6,1
17614637,2,7,2,3,4,2,5,2,7,0
86981001,2,10,5,3,3,6,3,0,9,4
203148074,2,2,6,2,2,0,2,0,1,0
17516504,3,3,0,4,3,2,3,2,8,3
51846914,2,2,5,3,3,6,6,6,3,2
212958532,1,2,2,2,5,2,2,2,1,0
1629358,8,9,5,8,8,2,2,2,4,1
134245357,0,3,0,5,7,2,2,5,2,5
1261561,6,4,6,4,9,2,5,3,5,0
41571963,0,0,8,0,2,6,5,10,3,5
51113095,2,4,2,9,8,2,2,2,3,5
76169642,5,6,0,2,5,5,2,0,6,2
194171766,5,1,4,2,0,2,2,1,2,0
18271679,0,2,0,5,4,2,3,5,0,1
58470789,5,9,2,2,8,2,2,2,2,0
4194332,1,8,0,8,3,3,2,0,2,0
18167326,2,8,0,3,2,3,3,5,7,5
84351638,2,2,1,4,2,8,3,5,9,2
77891076,5,3,0,2,2,3,5,0,9,4
30401956,2,0,2,8,2,1,0,0,0,0
111304309,0,4,1,2,4,0,9,5,0,0
134245353,0,8,1,5,2,6,5,3,8,2
7946252,2,5,2,9,4,3,1,0,5,3
83511139,1,2,2,8,4,2,2,0,5,2
199050935,2,8,2,4,7,4,3,5,5,5
50820032,2,0,10,2,0,3,3,8,3,0
82020498,3,2,9,2,2,8,2,0,3,0
9474028,0,5,0,0,4,0,0,0,0,0
55179313,0,3,5,2,2,7,2,5,10,0
60392809,2,2,0,2,2,8,2,10,6,3
93296295,1,8,2,2,8,2,2,2,6,0
3352568,8,4,7,9,9,3,2,2,3,2
79219366,3,7,0,3,2,4,2,0,5,2
193273536,2,9,3,8,9,3,5,2,7,3
5434805,2,2,0,2,2,2,2,2,5,2
169366451,9,9,9,6,9,0,1,0,0,0
14884938,6,2,5,7,6,6,6,10,10,4
15738922,3,7,0,1,2,8,5,0,9,0
83380751,6,9,8,8,7,2,2,2,2,1
1284914,0,2,0,6,5,6,1,0,8,7
3998623,2,8,0,3,8,2,2,1,2,0
195760279,4,7,2,2,7,6,2,2,7,3
90166650,2,9,0,2,7,8,5,2,9,3
65079014,2,9,6,6,8,2,2,0,0,0
66117517,0,7,2,5,6,2,2,2,0,0
96457658,5,1,0,2,2,2,2,5,0,0
87029402,2,7,2,2,2,3,2,6,2,3
102675336,2,8,2,5,9,5,2,3,5,3
189822176,3,10,9,2,9,5,2,1,0,0
52080229,6,8,6,8,9,2,2,2,2,2
4687741,8,3,5,4,5,6,7,7,7,0
52422878,5,1,3,2,6,0,2,6,5,2
63078310,0,2,0,2,2,7,2,0,8,2
97205149,0,2,0,2,2,3,5,8,9,0
2045233,0,9,3,2,9,6,0,0,6,1
213759518,2,8,0,2,2,6,8,2,8,2
45744269,2,9,8,9,4,3,2,2,4,2
53614250,3,5,4,2,2,2,6,2,2,2
30401979,0,0,2,8,0,0,0,1,0,1
83916654,5,3,5,2,0,3,8,5,0,2
55915048,2,0,3,3,2,0,2,4,5,6
56232025,3,7,3,6,9,5,2,2,7,6
31260463,4,3,2,4,6,2,2,0,5,0
58026824,2,2,2,5,2,2,2,3,2,2
69375516,3,9,2,2,2,7,6,2,9,5
215870218,0,6,1,6,4,3,3,5,2,1
48578381,2,2,2,9,10,2,2,2,2,5
55422058,3,2,2,5,5,6,7,0,8,6
138830239,2,10,6,3,8,4,2,2,7,1
101157977,2,0,0,2,2,2,5,0,2,5
79785773,2,3,2,10,2,3,0,2,8,7
201816469,7,8,7,9,7,2,0,2,2,2
58026802,2,4,0,2,3,6,5,6,4,2
134307269,10,8,10,9,10,3,0,1,2,5
1394129,2,0,6,0,10,0,0,0,1,0
99604430,5,10,2,3,8,5,5,2,8,4
1181559,0,3,8,2,2,2,2,1,2,0
49367038,5,6,0,2,3,2,2,5,5,2
84791675,7,2,8,9,10,2,2,2,2,1
65819501,2,2,0,5,3,6,3,5,8,6
34134703,8,9,10,2,7,3,2,1,1,0
105881940,2,7,2,8,8,1,0,0,0,2
67801698,5,4,5,3,4,3,2,8,6,0
98079917,8,8,10,2,9,0,2,0,0,0
87839561,2,10,2,10,10,2,2,2,8,5
56491568,0,7,2,4,4,6,2,0,7,3
205932746,2,9,6,2,9,0,2,0,5,0
51113107,2,3,0,4,7,8,0,3,4,3
74738631,6,1,2,2,3,3,6,4,3,1
94043093,2,2,2,2,2,2,2,2,2,1
128725950,2,7,2,3,4,2,2,2,2,2
102523558,2,10,4,5,9,1,2,0,2,2
19919865,0,2,0,2,2,2,5,0,0,2
76273564,2,2,0,2,0,2,1,5,3,5
