id,achievement,hedonism,power,self-direction,stimulation,security,conformity,tradition,benevolence,universalism
4116102,0.75,3.0,1.6,1.5,1.4,5.6000000000000005,1.5,7.2,7.2,1.5
80257632,0.75,3.5,1.7,0.0,0.8,5.1,1.5,0.75,0.7,0.85
2241308,2.0999999999999996,2.4000000000000004,1.5,2.25,5.95,1.5,0.0,1.5,0.0,0.3
204336669,5.95,6.4,5.6000000000000005,5.6000000000000005,2.0999999999999996,1.5,0.0,0.7,0.7,0.0
34952275,1.7,1.5,0.7,5.95,7.2,1.4,1.7,1.5,2.25,2.4000000000000004
9223300,1.5,5.95,1.5,0.75,2.4000000000000004,2.0999999999999996,0.85,0.75,5.95,2.8
149782763,0.0,0.75,0.0,0.0,0.0,2.25,1.5,3.5,2.25,0.75
99962781,0.75,2.55,7.6499999999999995,0.7,0.0,1.5,5.6000000000000005,4.5,0.0,0.7
57005765,0.75,5.25,1.2,1.4,0.7,5.95,1.6,2.25,2.25,4.5
99567690,0.0,5.6000000000000005,0.0,0.6,0.75,2.25,0.75,0.75,4.5,1.5
151085454,0.0,1.5,0.0,0.0,0.0,3.0,0.75,0.0,0.0,0.0
134245347,2.0999999999999996,0.9,0.0,1.5,1.4,5.6000000000000005,2.25,5.6000000000000005,2.0999999999999996,1.5
16074172,4.199999999999999,1.5,4.5,1.7,4.5,1.2,1.4,1.4,1.5,0.7
61210999,1.2,1.6,1.5,0.75,1.5,5.95,3.2,1.5,1.5,0.0
205113268,4.800000000000001,3.2,4.8999999999999995,4.5,5.6000000000000005,2.4000000000000004,1.5,2.0999999999999996,2.25,2.25
99526020,1.7999999999999998,5.6000000000000005,0.65,1.5,7.6499999999999995,1.3,0.0,0.6,1.5,1.4
152156851,0.0,3.4,0.75,0.8,0.75,0.0,0.0,0.0,0.0,0.75
17997657,0.75,0.75,0.7,1.5,0.75,0.7,1.6,1.5,1.5,0.85
55713838,2.55,1.7,0.75,0.75,0.75,2.25,1.5,4.5,0.7,0.0
97622225,2.0999999999999996,5.6000000000000005,1.5,2.25,7.6499999999999995,5.6000000000000005,1.6,2.0999999999999996,1.4,4.5
45138126,0.0,5.6,0.6,2.25,5.6000000000000005,0.0,1.7,0.0,0.0,0.0
