id,achievement,hedonism,power,self-direction,stimulation,security,conformity,tradition,benevolence,universalism
34815107,2,3,1,4,2,2,3,1,3,3
3110283,2,1,2,1,2,3,1,2,8,5
50880001,2,1,2,2,1,1,2,2,1,1
69045240,4,3,3,7,6,4,3,2,3,3
100311762,6,7,2,8,7,6,6,2,8,7
96005995,2,3,7,6,6,3,3,1,1,2
89609250,3,8,8,2,9,1,1,2,1,1
105955606,2,3,1,6,1,4,3,2,3,3
195811248,3,6,3,8,7,6,8,3,4,3
48207198,2,4,2,2,1,3,6,2,2,2
2157391,2,7,6,7,7,3,3,1,3,2
30855940,1,2,6,6,1,1,1,1,1,1
55113574,2,8,6,1,2,1,2,1,1,1
2918469,1,2,6,4,1,1,2,0,1,3
139163369,1,1,8,1,3,1,1,1,1,1
191939123,1,1,2,1,1,1,3,1,1,2
102448417,2,2,1,6,4,3,8,3,0,1
50879999,7,1,8,2,5,8,7,4,3,4
137088306,1,3,3,2,1,1,3,1,1,2
2241303,8,8,8,2,7,1,1,1,3,2
110838535,2,9,2,2,8,1,1,1,1,1
68586748,2,2,2,6,2,1,1,2,1,2
8608431,1,8,3,3,3,6,3,1,4,2
102644363,7,6,3,8,8,4,1,1,4,3
34717810,8,8,9,2,7,3,3,1,1,2
16880552,1,1,7,1,1,1,1,0,1,1
7364003,1,0,4,4,1,2,3,3,1,1
178938132,2,8,6,2,3,3,2,1,3,1
57222170,2,3,1,7,3,3,3,3,2,2
2655092,6,1,3,6,2,8,3,3,8,3
192078521,3,6,2,7,6,4,3,2,2,2
131133274,2,8,4,1,9,2,1,1,1,1
112314994,4,8,9,2,2,1,9,7,9,1
115264745,3,2,6,6,3,3,3,2,3,3
193720362,3,4,3,6,7,3,5,2,4,3
30413836,2,2,3,2,3,2,3,2,2,3
99446591,3,2,2,6,3,6,6,3,3,2
57161147,8,6,9,8,8,2,4,1,1,1
74362394,1,8,1,2,1,3,3,1,8,2
132609697,2,1,2,1,1,9,5,9,9,1
1072151,1,6,2,3,9,2,2,0,1,1
8126669,2,1,3,2,1,8,6,3,3,3
18340467,3,2,2,2,2,2,1,1,2,2
100986496,3,3,2,2,2,5,5,5,3,2
208069707,8,6,8,8,2,3,1,1,6,1
8173070,3,8,7,1,8,2,1,1,1,1
90166639,3,6,3,4,2,2,3,1,9,2
59362233,3,4,1,2,2,3,4,2,4,2
98017612,3,2,3,2,1,7,2,5,6,3
151289498,4,3,7,7,6,3,4,5,6,4
1155149,3,8,8,3,9,3,2,1,3,2
49850000,7,2,2,9,7,1,7,0,1,2
201110720,1,7,1,4,7,3,1,2,2,2
175241745,2,3,3,2,3,2,3,1,3,3
94576806,3,7,7,9,7,2,1,1,2,1
68162651,7,8,8,2,7,2,1,2,1,1
192022523,8,4,8,2,8,2,1,1,1,1
1457152,6,8,2,7,8,1,3,1,1,2
91801583,4,7,3,2,8,1,1,1,1,1
69005811,2,7,2,8,8,3,2,2,2,3
828137,1,1,9,1,1,1,1,1,1,1
7113327,3,7,8,4,3,8,6,2,7,6
205247018,8,4,8,8,5,7,3,1,3,3
201761827,1,1,1,7,3,2,1,2,1,2
103874927,1,1,7,7,7,1,1,0,1,1
51459985,2,3,1,3,1,4,3,5,3,3
95447455,3,7,7,2,1,4,6,3,6,3
8067043,1,7,2,2,3,3,5,3,2,1
100835093,2,7,2,3,4,3,3,0,4,0
81365531,4,3,2,8,7,6,2,1,4,3
79181406,4,8,8,6,2,3,2,1,1,1
96006001,2,6,7,1,1,2,7,1,1,1
1738540,1,1,6,2,1,1,1,2,1,1
199897647,3,1,7,8,4,9,6,2,8,7
107925872,2,6,1,2,3,6,2,2,5,3
155837868,3,3,3,1,1,7,8,2,9,4
206009879,2,2,2,3,2,2,3,4,4,2
48507914,2,7,2,2,3,1,2,1,8,0
34184890,2,6,1,2,3,1,2,1,7,2
57817704,2,7,6,3,7,2,7,1,2,2
190627099,2,3,2,6,1,3,3,2,3,3
2241309,3,1,3,4,4,3,1,1,1,2
158836239,2,1,3,3,1,9,7,2,7,2
5419053,3,4,3,2,3,3,4,3,3,3
136604825,2,9,3,2,6,4,0,1,4,1
30300275,3,3,4,2,1,3,3,2,3,2
55513190,6,2,8,1,7,1,2,1,1,1
53713090,1,3,7,2,2,2,1,1,3,1
31839783,2,8,3,2,2,1,1,1,1,3
144976778,2,4,7,1,2,1,2,1,1,1
192834024,8,3,8,2,3,9,8,6,9,3
4606621,1,2,6,1,1,5,1,1,1,1
34559009,6,7,6,7,8,2,3,3,3,2
98017616,1,1,2,1,1,2,3,2,3,2
48123123,4,6,6,4,6,7,4,2,4,2
173738557,1,1,3,7,1,1,8,1,1,1
84834849,7,3,3,4,3,7,7,3,4,2
203591958,8,3,8,8,8,2,1,1,2,1
7506796,8,2,8,8,6,8,8,3,3,2
57482205,2,7,2,3,6,8,6,3,8,3
90166649,4,6,2,3,3,3,3,2,3,2
37058159,1,8,8,1,8,1,1,1,1,1
101065985,3,2,3,8,4,7,2,3,2,3
3697347,8,8,8,4,7,6,3,1,3,2
108033095,3,8,4,3,8,2,3,1,2,2
2775568,2,1,1,1,1,8,1,5,3,1
207032069,1,3,1,6,1,3,2,5,1,1
50249555,1,8,3,1,2,7,1,2,1,1
162683767,9,8,9,8,9,4,2,1,2,1
8493745,1,9,8,2,9,1,1,1,1,1
108954952,7,7,1,7,7,4,1,3,3,4
93748525,1,3,1,2,2,4,7,1,7,2
4594656,3,1,2,2,1,6,2,1,4,0
124683421,8,8,8,3,8,2,5,1,3,1
195477024,1,1,9,1,1,1,1,0,1,1
34550936,1,8,1,3,9,2,1,1,3,2
97554690,3,9,2,6,5,4,2,6,1,2
79810086,2,1,4,1,1,3,3,7,6,2
99016445,3,2,3,6,4,4,4,5,6,6
49567277,3,8,2,2,3,3,6,2,7,2
52245864,2,3,3,4,2,3,2,1,2,2
162017839,2,8,8,1,8,1,1,1,3,2
57519734,7,2,3,8,7,3,3,2,2,4
3191244,7,3,6,2,2,3,3,4,2,1
828139,7,1,9,1,1,0,1,1,1,0
192531316,1,8,4,1,2,2,1,2,1,1
7506793,6,3,7,6,7,2,3,1,6,2
129989330,1,2,1,3,1,2,5,1,2,1
38106217,2,3,1,3,1,7,5,3,8,2
35115966,3,4,1,3,4,2,2,2,1,2
34265184,2,6,1,3,1,6,6,2,6,3
128725946,2,8,3,7,2,2,1,1,1,1
192207359,1,1,1,1,1,1,1,1,1,1
52391048,2,1,2,2,1,1,3,1,2,1
179032352,2,7,3,3,3,6,4,2,4,3
164362409,8,3,8,8,7,4,2,1,1,1
110507928,1,1,1,1,1,1,1,0,0,1
70564592,4,6,2,6,3,8,4,6,4,4
76454582,1,2,1,1,2,1,2,2,1,1
2775570,1,1,9,1,1,3,5,1,1,1
190922087,8,2,8,2,2,1,2,1,1,1
200339847,2,8,1,3,4,3,3,1,8,3
17215424,3,7,1,4,7,2,1,1,2,1
34108983,1,1,2,1,5,5,5,2,3,2
132863726,3,4,3,2,3,5,2,1,3,2
46249033,2,2,1,4,2,4,2,1,3,2
1482078,2,8,6,1,8,2,3,1,6,2
58073891,1,2,3,5,2,2,5,5,5,2
13830504,2,9,2,1,7,1,1,1,1,1
195507703,3,8,4,4,8,4,2,1,4,2
78370137,8,3,9,8,8,2,1,1,2,2
63190551,3,3,1,6,3,3,4,5,4,2
112470066,3,9,6,3,8,1,6,1,4,3
30855978,3,1,1,7,1,1,1,1,1,1
8163351,7,7,2,2,8,3,1,3,3,3
6280709,1,1,2,2,1,3,3,5,1,2
116321524,6,3,6,7,3,4,1,2,2,2
101065979,3,3,6,5,3,7,6,4,8,4
161040345,9,7,8,6,8,7,7,6,6,2
105588171,1,1,9,1,9,0,1,1,1,1
