id,achievement,hedonism,power,self-direction,stimulation,security,conformity,tradition,benevolence,universalism
34815107,1.4,5.95,0.6,2.0999999999999996,1.4,1.2,1.7999999999999998,0.3,4.199999999999999,1.2
3110283,1.4,0.6,1.2,1.2,1.2,4.800000000000001,1.4,1.2,6.4,2.0999999999999996
50880001,0.6,0.4,0.6,1.7999999999999998,1.2,1.2,1.4,0.8,0.4,0.3
69045240,2.4,1.2,1.7999999999999998,4.199999999999999,4.8999999999999995,4.199999999999999,0.7,1.2,1.7999999999999998,1.7999999999999998
100311762,4.8999999999999995,4.199999999999999,1.2,6.4,4.199999999999999,4.199999999999999,4.199999999999999,1.7999999999999998,5.6000000000000005,6.0
96005995,1.2,4.800000000000001,1.4,4.199999999999999,2.0999999999999996,1.2,1.2,1.2,2.4,1.2
89609250,1.2,5.6000000000000005,1.2,1.7999999999999998,6.4,0.6,1.4,0.2,1.2000000000000002,0.6000000000000001
105955606,1.4,0.6,2.0999999999999996,4.199999999999999,1.2,2.0999999999999996,2.8,1.2,1.7999999999999998,1.2
195811248,2.0999999999999996,5.6000000000000005,1.7999999999999998,4.8999999999999995,6.4,2.4,4.2,1.2,3.5999999999999996,4.199999999999999
48207198,1.7999999999999998,1.4,1.2,1.4,0.7,0.8,1.7999999999999998,0.6,1.7999999999999998,1.7999999999999998
2157391,4.199999999999999,5.6,4.199999999999999,4.8999999999999995,5.6000000000000005,1.2,4.199999999999999,0.6,0.8,1.2
30855940,0.6,4.2,5.6,4.199999999999999,2.4,0.6,0.8,0.7,0.6,0.85
55113574,0.4,6.4,2.0999999999999996,0.6,3.5999999999999996,1.2,1.6,0.7,1.2,0.7
2918469,0.6,1.7999999999999998,2.0999999999999996,2.8,0.6,0.6,1.7999999999999998,0.6,0.75,2.0999999999999996
139163369,0.6,0.6,5.6000000000000005,0.6,0.6,0.6,0.6,0.2,0.2,0.3
191939123,0.6,0.6,1.6,1.4,0.6,0.7,2.25,0.6,0.6,0.7
102448417,2.0999999999999996,0.6,6.0,1.4,1.4,1.6,1.4,2.8,0.6,0.7
50879999,2.0999999999999996,0.6,7.6499999999999995,4.199999999999999,2.8,4.5,5.6000000000000005,1.2,2.4,4.199999999999999
137088306,1.2,0.6,1.6,2.0999999999999996,0.6,2.0999999999999996,1.2,0.6,0.6,1.2
2241303,4.800000000000001,6.4,6.4,1.2,7.2,1.2,0.7,0.3,0.4,0.3
110838535,0.6,8.549999999999999,1.7999999999999998,0.8,7.2,0.3,0.6,0.2,0.2,0.0
68586748,1.2,0.6,0.7,4.199999999999999,1.2,0.85,1.2,0.6,4.199999999999999,0.6
8608431,1.2,5.6000000000000005,4.199999999999999,1.7999999999999998,2.4,0.6,0.6,0.4,2.4,0.6
102644363,5.6000000000000005,2.4,1.7999999999999998,6.0,4.8999999999999995,1.2,1.2,0.6,1.7999999999999998,1.7999999999999998
34717810,6.4,7.6499999999999995,7.6499999999999995,1.2,4.199999999999999,1.4,0.7,0.6,0.7,0.6
16880552,0.6,0.3,0.8,0.6,0.7,0.7,0.6,0.2,0.2,0.7
7364003,0.6,0.7,2.8,1.7999999999999998,0.6,0.7,0.7,2.4,0.7,2.0999999999999996
178938132,0.8,6.4,2.0999999999999996,1.7999999999999998,2.0999999999999996,1.7999999999999998,1.7999999999999998,0.6,0.8,0.4
57222170,1.7999999999999998,4.199999999999999,1.2,4.199999999999999,0.6,2.8,2.4,1.2,5.6000000000000005,1.7999999999999998
