id,achievement,hedonism,power,self-direction,stimulation,security,conformity,tradition,benevolence,universalism
34815107,1,8,2,1,7,4,3,3,3,2
3110283,0,2,1,1,1,2,3,0,8,9
50880001,3,5,8,2,3,4,3,3,0,3
69045240,2,1,2,2,6,7,3,6,2,2
100311762,6,8,0,6,7,3,3,0,3,6
96005995,0,2,2,1,0,2,2,2,2,2
89609250,2,9,2,3,9,2,0,0,1,2
105955606,0,1,2,6,0,1,2,3,2,1
195811248,2,7,2,7,7,2,1,6,6,6
48207198,1,6,1,2,0,7,3,2,7,6
2157391,2,9,2,2,2,0,2,0,6,2
30855940,0,0,0,2,0,1,0,0,0,0
55113574,0,8,3,1,7,1,1,0,7,2
2918469,0,1,2,1,2,1,0,2,0,2
139163369,1,2,8,2,2,2,2,0,1,0
191939123,1,4,0,2,2,2,6,0,2,0
102448417,1,0,3,2,2,1,2,1,2,6
50879999,2,1,0,2,2,6,0,2,3,6
137088306,0,0,0,1,0,0,1,1,1,1
2241303,3,6,5,1,7,1,2,0,1,1
110838535,3,9,4,2,9,2,7,2,0,0
68586748,1,0,1,1,1,3,2,0,1,3
8608431,0,3,4,2,2,6,2,3,3,2
102644363,5,3,2,3,8,2,3,2,0,2
34717810,8,9,7,0,3,3,1,0,1,0
16880552,0,0,3,0,0,0,0,1,0,0
7364003,0,1,1,1,1,3,1,2,2,1
178938132,1,6,1,1,2,2,1,0,0,0
57222170,1,2,2,1,2,3,4,3,5,0
2655092,3,2,2,0,1,6,3,7,7,2
192078521,2,7,3,1,1,4,2,3,6,1
131133274,1,7,7,1,4,1,0,1,0,1
112314994,2,3,1,0,2,3,9,2,8,0
115264745,0,2,7,1,8,0,0,4,2,3
193720362,2,7,2,6,6,2,6,1,2,2
30413836,0,7,2,1,3,2,2,2,2,0
99446591,2,2,1,5,2,6,3,6,3,5
57161147,6,8,10,7,9,2,3,0,2,0
74362394,1,4,2,0,1,3,3,1,9,2
132609697,0,3,2,1,2,10,6,9,8,4
1072151,1,6,1,1,8,1,0,2,1,0
8126669,0,1,0,1,1,3,2,3,1,3
18340467,2,2,0,2,0,2,0,0,3,2
100986496,1,6,0,2,1,0,2,1,0,0
208069707,0,9,3,2,1,1,3,2,3,0
8173070,2,9,6,3,7,0,2,1,2,2
90166639,2,2,2,1,9,0,2,2,9,7
59362233,0,0,1,2,1,0,0,2,0,0
98017612,2,0,2,2,3,8,2,0,2,1
151289498,2,1,0,1,1,2,0,0,2,2
1155149,1,3,8,2,6,9,7,1,7,1
49850000,7,8,0,9,7,3,3,2,3,2
201110720,2,3,3,3,7,2,1,1,1,4
175241745,1,3,2,1,2,2,1,3,2,1
94576806,2,8,4,9,6,2,0,2,1,2
68162651,1,7,7,6,2,2,0,3,0,0
192022523,7,9,8,8,3,0,1,0,0,1
1457152,2,8,1,2,8,2,1,1,0,0
91801583,2,7,2,1,4,1,2,5,0,0
69005811,2,9,2,2,2,7,3,0,1,1
828137,1,0,8,1,0,0,2,0,0,0
7113327,1,8,2,3,6,7,2,6,4,7
205247018,8,7,7,6,2,2,2,2,0,3
201761827,0,2,0,0,0,3,0,2,3,0
103874927,0,2,2,1,4,0,3,2,0,0
51459985,1,0,0,2,0,2,3,2,3,1
95447455,1,7,4,2,1,4,4,4,7,2
8067043,0,2,0,1,1,7,4,3,1,1
100835093,1,7,2,1,3,2,3,5,2,2
81365531,3,2,3,6,7,7,5,7,3,2
79181406,7,7,7,4,4,1,0,1,1,1
96006001,2,1,6,1,0,1,0,0,2,0
1738540,1,1,2,1,0,0,1,1,1,0
199897647,1,2,2,1,2,3,2,2,7,7
107925872,0,3,1,1,0,1,0,0,4,2
155837868,1,2,1,1,2,6,7,7,9,2
206009879,1,1,3,2,2,2,2,2,7,0
48507914,1,2,5,1,2,1,1,1,3,1
34184890,1,7,1,3,1,2,2,1,6,1
57817704,2,6,2,0,4,1,2,2,2,0
190627099,2,2,2,2,6,2,2,2,2,1
2241309,1,2,1,1,3,1,0,2,0,1
158836239,2,1,1,1,2,9,7,4,7,3
5419053,2,2,2,1,0,2,0,1,2,0
136604825,0,5,1,0,1,0,0,0,7,1
30300275,2,2,2,2,2,2,2,2,3,2
55513190,2,0,9,0,4,0,2,0,0,0
53713090,2,3,2,1,1,1,0,2,4,0
31839783,0,3,1,2,1,4,8,3,4,1
144976778,0,2,8,2,0,0,2,0,0,2
192834024,2,2,2,0,2,6,3,1,9,2
4606621,7,6,2,2,7,0,1,6,1,0
34559009,8,9,2,6,9,2,7,6,1,0
98017616,0,1,0,0,0,1,0,0,0,0
48123123,2,7,2,0,2,3,3,1,1,0
173738557,0,2,2,1,1,2,0,0,1,0
84834849,1,2,1,0,3,2,2,2,3,1
203591958,7,7,8,7,3,3,1,1,1,0
7506796,7,0,0,2,0,2,0,2,2,2
57482205,1,2,0,1,6,8,0,2,6,2
90166649,3,3,1,1,1,2,1,3,2,2
37058159,0,7,6,1,3,1,0,0,1,0
101065985,6,3,3,6,3,2,2,2,0,3
3697347,1,9,3,1,2,2,2,1,3,1
108033095,2,7,2,1,9,1,2,1,1,3
2775568,2,0,2,1,2,6,2,3,3,1
207032069,1,0,1,6,2,1,0,7,0,2
50249555,0,8,0,2,1,0,0,0,0,0
162683767,8,8,9,8,8,0,0,1,0,1
8493745,0,8,6,1,8,1,0,0,0,0
108954952,7,9,2,2,8,2,1,1,2,2
93748525,1,1,0,0,2,3,1,3,1,1
4594656,0,0,0,1,0,3,0,2,3,1
124683421,6,9,8,7,7,1,3,2,1,2
195477024,0,0,0,0,0,1,2,0,0,0
34550936,2,7,0,1,8,2,0,2,3,2
97554690,1,8,2,2,7,2,0,3,2,2
79810086,1,1,8,1,1,1,2,7,0,0
99016445,6,3,1,7,3,2,8,3,6,6
49567277,1,6,2,1,0,2,2,2,2,0
52245864,3,2,1,2,2,2,0,2,2,1
162017839,1,9,8,2,6,1,0,0,3,0
57519734,2,0,4,6,7,2,3,2,2,2
3191244,7,3,7,2,4,6,3,1,2,1
828139,0,0,4,0,0,0,0,0,0,0
192531316,1,9,8,0,2,1,2,1,3,3
7506793,3,3,7,3,3,1,0,3,1,1
129989330,1,3,2,1,0,0,0,2,0,1
38106217,2,1,1,1,2,9,0,7,7,2
