id,achievement,hedonism,power,self-direction,stimulation,security,conformity,tradition,benevolence,universalism
8126672,1,3,1,3,2,7,3,2,4,3
85546649,1,8,8,1,4,1,1,1,1,1
102975974,8,3,8,5,8,1,3,2,3,2
1284913,6,9,8,3,8,1,2,1,1,1
103989003,2,1,8,1,1,2,1,1,1,1
114170086,8,6,9,7,6,2,4,1,4,2
89653371,3,1,3,4,2,6,7,5,7,6
15263384,3,8,8,7,8,2,1,1,1,0
127131501,1,1,9,0,1,1,1,1,1,1
55179319,1,2,2,3,1,4,4,3,4,1
77884778,3,8,7,1,8,2,1,1,1,1
1941454,6,1,3,6,7,7,2,3,7,4
193351308,2,8,2,7,9,3,2,1,2,2
193962900,8,7,7,7,8,2,1,1,3,3
