id,achievement,hedonism,power,self-direction,stimulation,security,conformity,tradition,benevolence,universalism
88,4.199999999999999,0.6,2.4,1.7999999999999998,1.2,3.5,4.199999999999999,0.8,2.4,1.2
89,3.0,0.4,4.8999999999999995,2.4,0.6,4.199999999999999,1.2,0.6,1.7999999999999998,1.7999999999999998
91,5.6,0.6,5.6000000000000005,6.0,0.6,7.2,1.2,1.2,4.800000000000001,2.8
279,5.6000000000000005,1.2,4.800000000000001,4.8999999999999995,1.2,4.8999999999999995,1.7999999999999998,1.2,7.6,6.8
289,5.6000000000000005,0.6,4.199999999999999,2.0999999999999996,1.2,6.0,4.8999999999999995,1.2,6.4,4.8999999999999995
293,4.8999999999999995,0.6,6.4,2.0999999999999996,1.2,7.2,5.6000000000000005,1.7999999999999998,3.5,2.8
326,2.4,0.3,1.4,2.8,1.2,2.0999999999999996,2.4,2.0999999999999996,6.4,5.6000000000000005
435,2.8,0.3,4.8999999999999995,2.4,2.4,2.8,1.4,0.3,2.4,2.8
454,6.4,1.4,4.8999999999999995,4.199999999999999,1.7999999999999998,7.2,2.8,0.9,2.8,1.7999999999999998
668,4.8999999999999995,0.6,5.6000000000000005,5.6000000000000005,4.199999999999999,5.6,4.199999999999999,4.199999999999999,6.4,5.6
