id,achievement,hedonism,power,self-direction,stimulation,security,conformity,tradition,benevolence,universalism
8126672,9,8,10,7,9,9,5,10,10,10
85546649,2,9,9,0,0,0,0,2,0,0
102975974,10,10,9,8,9,2,2,9,7,0
1284913,0,9,9,0,10,0,0,0,0,0
103989003,0,2,2,0,0,0,1,0,0,0
114170086,7,9,7,5,8,3,0,4,0,2
89653371,5,5,5,9,10,10,8,9,9,9
15263384,8,2,0,0,0,2,2,0,0,0
127131501,0,0,10,0,0,0,0,0,0,0
55179319,0,10,0,5,2,0,5,0,2,2
77884778,8,9,2,0,10,2,0,5,0,0
1941454,10,10,8,10,9,10,10,10,10,6
193351308,10,9,8,0,10,3,0,0,0,0
193962900,10,0,8,7,9,8,6,2,0,5
