id,achievement,hedonism,power,self-direction,stimulation,security,conformity,tradition,benevolence,universalism
8126672,3,0,2,3,2,0,0,2,2,3
85546649,0,9,8,0,8,0,1,1,1,0
102975974,8,9,9,10,8,10,0,1,0,0
1284913,9,10,0,0,8,0,0,0,0,0
103989003,0,0,0,0,0,0,0,1,0,0
114170086,9,9,9,8,8,1,3,0,2,1
89653371,0,8,0,0,0,3,0,2,9,0
15263384,10,0,9,0,10,0,0,0,0,0
127131501,0,2,10,0,0,0,0,0,0,0
55179319,10,0,0,1,0,0,0,8,8,0
77884778,0,2,0,2,0,0,0,0,0,0
1941454,9,9,10,9,10,0,8,5,8,0
193351308,0,8,1,2,10,1,0,0,2,0
193962900,9,9,0,9,10,1,10,0,0,2
