id,achievement,hedonism,power,self-direction,stimulation,security,conformity,tradition,benevolence,universalism
88,8.1,8.549999999999999,8.549999999999999,1.9,1.9,7.6,8.549999999999999,2.8499999999999996,0.95,7.6
89,8.549999999999999,7.6,7.6,7.6,8.549999999999999,7.6,8.549999999999999,2.7,7.2,7.6
91,7.6,8.549999999999999,10.0,8.1,7.6,8.549999999999999,0.0,9.5,8.549999999999999,2.7
279,8.549999999999999,10.0,8.549999999999999,8.549999999999999,7.6,8.549999999999999,8.549999999999999,5.699999999999999,8.549999999999999,9.5
289,7.6,8.549999999999999,8.549999999999999,7.2,8.549999999999999,8.549999999999999,7.6499999999999995,7.6,8.549999999999999,8.549999999999999
293,8.549999999999999,0.0,7.6,1.9,0.0,9.5,1.6,6.6499999999999995,8.1,7.6499999999999995
326,8.549999999999999,0.95,9.5,7.6,9.5,9.5,7.6,0.0,9.5,8.549999999999999
435,8.549999999999999,4.5,8.549999999999999,5.1,1.8,9.5,0.95,1.6,7.2,6.6499999999999995
454,8.549999999999999,5.699999999999999,6.6499999999999995,9.5,8.549999999999999,8.549999999999999,10.0,0.0,7.6,6.6499999999999995
668,7.6499999999999995,1.9,4.75,5.95,3.8,6.8,7.6,8.549999999999999,8.549999999999999,8.549999999999999
