id,achievement,hedonism,power,self-direction,stimulation,security,conformity,tradition,benevolence,universalism
8126672,0,0,0,0,5,5,0,2,0,4
85546649,0,3,0,0,2,2,0,0,1,0
102975974,7,0,2,3,6,2,1,1,0,2
1284913,0,10,1,3,0,0,0,0,1,0
103989003,0,0,0,1,2,1,2,0,0,0
114170086,2,7,7,1,6,1,1,3,2,1
89653371,1,0,0,2,2,3,7,2,6,2
15263384,2,7,8,2,6,0,0,1,1,0
127131501,0,0,8,0,0,0,1,0,0,0
55179319,0,2,0,3,2,3,2,0,2,0
77884778,0,2,6,0,6,1,3,1,1,1
1941454,2,0,1,0,3,5,2,2,2,0
193351308,5,8,1,2,9,2,0,0,5,0
193962900,8,8,3,2,8,2,1,0,2,1
