id,achievement,hedonism,power,self-direction,stimulation,security,conformity,tradition,benevolence,universalism
8126672,5,2,0,2,2,3,5,3,4,3
85546649,4,9,4,2,4,2,2,3,1,0
102975974,8,6,9,8,9,2,1,0,2,0
1284913,2,7,6,8,4,1,2,1,0,1
103989003,2,2,2,2,0,0,1,0,1,0
114170086,8,8,9,9,9,2,2,3,2,2
89653371,8,2,2,8,5,7,8,7,8,6
15263384,8,9,8,8,8,2,2,2,2,1
127131501,0,0,10,0,0,2,0,0,0,0
55179319,0,0,0,2,2,2,3,0,2,2
77884778,4,8,8,2,8,2,7,6,6,2
1941454,10,2,2,7,3,6,5,7,3,3
193351308,2,9,2,9,9,3,1,0,2,0
193962900,9,9,6,6,9,0,2,5,5,5
