id,achievement,hedonism,power,self-direction,stimulation,security,conformity,tradition,benevolence,universalism
8126672,2,2,0,0,2,1,1,7,1,1
85546649,0,9,1,0,1,0,2,0,2,1
102975974,5,2,8,0,8,1,1,2,1,1
1284913,7,10,8,7,7,0,0,0,1,0
103989003,0,0,2,0,7,0,0,2,1,0
114170086,7,9,9,6,3,0,0,0,1,0
89653371,3,4,2,2,4,6,3,2,7,6
15263384,9,9,7,9,9,1,0,0,0,1
127131501,0,0,9,0,0,0,0,0,0,0
55179319,1,2,0,0,3,2,3,3,6,0
77884778,2,9,7,8,8,2,0,1,1,1
1941454,8,2,8,1,7,4,1,2,3,1
193351308,2,9,0,8,8,2,4,1,1,0
193962900,0,4,7,8,9,2,0,2,3,2
