id,achievement,hedonism,power,self-direction,stimulation,security,conformity,tradition,benevolence,universalism
8126672,0.75,0.85,1.5,0.8,1.6,2.0999999999999996,1.6,5.1,0.8,3.75
85546649,0.3,5.6000000000000005,1.5,0.0,2.55,1.4,0.0,0.8,0.0,0.0
102975974,5.6,1.5,5.95,6.0,5.95,0.0,0.0,0.0,0.0,0.0
1284913,6.0,7.2,7.6499999999999995,5.95,7.6499999999999995,0.75,0.0,0.0,1.4,0.0
103989003,0.75,0.85,1.6,0.8,0.75,1.6,1.7,0.0,1.4,0.0
114170086,7.6499999999999995,5.6000000000000005,7.2,2.25,5.95,0.75,1.6,0.6,0.85,0.75
89653371,1.5,1.5,1.4,5.6000000000000005,3.0,2.25,5.95,5.6000000000000005,5.1,1.4
15263384,5.95,4.0,6.0,5.6000000000000005,8.0,0.75,0.8,0.0,0.0,0.0
127131501,0.0,0.0,9.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0
55179319,0.0,2.25,0.0,1.5,0.75,1.5,2.25,0.8,1.4,0.0
77884778,2.55,1.5,3.2,0.75,5.6000000000000005,0.75,0.0,0.0,0.7,0.0
1941454,6.0,1.5,6.0,4.5,5.6000000000000005,0.0,0.0,1.5,0.65,1.7
193351308,0.85,5.6000000000000005,1.6,5.6000000000000005,7.2,1.5,5.95,0.0,1.5,1.2
193962900,5.6000000000000005,2.55,5.6000000000000005,5.95,5.95,1.2,1.5,0.65,1.6,2.8
