id,achievement,hedonism,power,self-direction,stimulation,security,conformity,tradition,benevolence,universalism
88,2.55,2.25,1.5,0.75,0.75,4.5,2.4000000000000004,2.25,1.7,2.4000000000000004
89,2.4000000000000004,0.0,4.800000000000001,2.4000000000000004,1.7,5.95,2.4000000000000004,1.4,3.5,3.2
91,1.6,0.75,2.4000000000000004,1.7,0.7,1.5,1.5,1.4,0.85,4.199999999999999
279,5.6000000000000005,2.4000000000000004,5.6000000000000005,7.2,2.25,7.2,1.7,1.4,7.6499999999999995,9.0
289,2.55,2.4000000000000004,2.25,1.6,2.0999999999999996,2.0999999999999996,1.6,0.75,4.25,5.95
293,2.55,1.5,5.95,1.7,2.4000000000000004,7.2,2.4000000000000004,2.4000000000000004,2.25,4.5
326,2.4000000000000004,3.2,3.2,2.8,2.4000000000000004,5.95,5.6000000000000005,7.6499999999999995,5.95,7.6499999999999995
435,5.95,2.0999999999999996,5.95,1.6,3.0,5.95,1.4,0.85,3.0,3.2
454,5.95,0.8,5.95,1.7,1.6,8.549999999999999,0.85,1.7,2.4000000000000004,1.5
668,1.6,1.5,1.6,5.6000000000000005,2.25,5.6000000000000005,5.95,5.95,7.6499999999999995,5.6000000000000005
